"colBoth.protein"	"colBoth.count"
"883"	"B3939"	5
"884"	"B3940"	3
"885"	"B3941"	6
"886"	"B3947"	2
"887"	"B3949"	4
"888"	"B3951"	4
"889"	"B3958"	10
"890"	"B3959"	5
"891"	"B3966"	3
"892"	"B3980"	10
"893"	"B3981"	4
"894"	"B3982"	24
"895"	"B3983"	15
"896"	"B3984"	24
"897"	"B3985"	8
"898"	"B3986"	21
"899"	"B3987"	28
"900"	"B3988"	28
"901"	"B3991"	5
"902"	"B3992"	3
"903"	"B3993"	6
"904"	"B3997"	5
"905"	"B3998"	3
"906"	"B4003"	9
"907"	"B4005"	8
"908"	"B4014"	4
"909"	"B4015"	5
"910"	"B4031"	2
"911"	"B4032"	8
"912"	"B4033"	8
"913"	"B4034"	4
"914"	"B4035"	5
"915"	"B4036"	6
"916"	"B4039"	2
"917"	"B4040"	6
"918"	"B4043"	4
"919"	"B4052"	13
"920"	"B4053"	2
"921"	"B4054"	3
"922"	"B4058"	10
"923"	"B4062"	2
"924"	"B4074"	6
"925"	"B4075"	2
"926"	"B4086"	4
"927"	"B4087"	2
"928"	"B4088"	9
"929"	"B4093"	2
"930"	"B4094"	2
"931"	"B4095"	5
"932"	"B4097"	20
"933"	"B4098"	5
"934"	"B4099"	4
"935"	"B4100"	5
"936"	"B4112"	4
"937"	"B4113"	7
"938"	"B4117"	3
"939"	"B4119"	3
"940"	"B4122"	2
"941"	"B4123"	4
"942"	"B4124"	5
"943"	"B4131"	6
"944"	"B4132"	2
"945"	"B4138"	2
"946"	"B4142"	2
"947"	"B4143"	57
"948"	"B4150"	2
"949"	"B4151"	4
"950"	"B4152"	3
"951"	"B4153"	4
"952"	"B4170"	10
"953"	"B4171"	8
"954"	"B4172"	4
"955"	"B4173"	4
"956"	"B4174"	4
"957"	"B4179"	7
"958"	"B4180"	2
"959"	"B4193"	3
"960"	"B4200"	8
"961"	"B4202"	8
"962"	"B4227"	8
"963"	"B4230"	4
"964"	"B4240"	2
"965"	"B4254"	3
